# u_min=1, u_max=20000, r_max=65536, terms_max=8192
# sieve_limit=93727
# timestamp=20260430-164131
first_term,last_term,terms,u,v,r,objective,a,power_2_a,n,m_n
2*2,2*2,1,1,1,0,4,2,4,1,1
2*3,2*3,1,1,1,1,6,1,2,2,3
2*3,5*7,3,1,3,1,56,3,8,3,7
2*5,3*7,2,1,2,2,31,0,1,5,31
2*5,41*47,13,1,13,2,8128,6,64,7,127
2*7,2*7,1,1,1,3,14,1,2,3,7
2*7,5*13,3,1,3,3,112,4,16,3,7
2*19,5*29,3,1,3,7,252,2,4,6,63
2*19,43*73,14,1,14,7,16383,0,1,14,16383
2*31,2*31,1,1,1,10,62,1,2,5,31
2*71,31*113,11,1,11,19,16376,3,8,11,2047
2*101,3*103,2,1,2,25,511,0,1,9,511
2*107,103*251,27,1,27,27,262140,2,4,16,65535
2*127,2*127,1,1,1,30,254,1,2,7,127
2*149,5*157,3,1,3,34,1536,9,512,2,3
2*197,5*211,3,1,3,44,2046,1,2,10,1023
2*569,11*593,5,1,5,103,16368,4,16,10,1023
2*1151,11*1181,5,1,5,189,32764,2,4,13,8191
2*1223,5*1231,3,1,3,199,12288,12,4096,2,3
2*2311,11*2347,5,1,5,343,65520,4,16,12,4095
2*2557,23*2647,9,1,9,374,262142,1,2,17,131071
2*8191,2*8191,1,1,1,1027,16382,1,2,13,8191
2*13007,31*13109,11,1,11,1549,2093056,12,4096,9,511
2*24121,499*25183,95,1,95,2685,535822336,20,1048576,9,511
2*36107,17*36187,7,1,7,3834,2097088,6,64,15,32767
2*74869,11*74897,5,1,5,7382,2096896,8,256,13,8191
2*104779,31*104891,11,1,11,10004,16777152,6,64,18,262143
2*131071,2*131071,1,1,1,12250,262142,1,2,17,131071
2*524287,2*524287,1,1,1,43389,1048574,1,2,19,524287
2*594467,11*594521,5,1,5,48682,16646144,17,131072,7,127
3*3,19*19,7,2,8,0,1023,0,1,10,1023
3*5,3*5,1,2,2,1,15,0,1,4,15
3*5,7*11,3,2,4,1,127,0,1,7,127
3*7,17*23,6,2,7,2,992,5,32,5,31
3*13,5*17,2,2,3,4,124,2,4,5,31
3*13,11*23,4,2,5,4,510,1,2,8,255
3*71,11*83,4,2,5,18,2044,2,4,9,511
3*149,11*163,4,2,5,33,4094,1,2,11,2047
3*491,5*499,2,2,3,92,3968,7,128,5,31
3*1423,31*1471,10,2,11,222,229376,15,32768,3,7
3*1979,5*1987,2,2,3,297,15872,9,512,5,31
3*2039,5*2053,2,2,3,307,16382,1,2,13,8191
3*2179,11*2213,4,2,5,325,57344,13,8192,3,7
3*2647,23*2687,8,2,9,381,262142,1,2,17,131071
3*3343,13*3371,5,2,6,469,131071,0,1,17,131071
3*8171,5*8179,2,2,3,1024,65408,7,128,9,511
3*102811,47*102983,14,2,15,9838,33554416,4,16,21,2097151
3*130043,5*130051,2,2,3,12161,1040384,13,8192,7,127
3*131063,5*131071,2,2,3,12248,1048544,5,32,15,32767
3*262139,5*262147,2,2,3,22998,2097152,21,2097152,1,1
3*322627,11*322649,4,2,5,27819,8388606,1,2,22,4194303
5*7,7*11,2,3,4,1,112,4,16,3,7
